Product Name,Product Type,Unit of Measure,Delivery Method
Vegi Mix,Soil,per m³,Ex-bin
Canberra Organic,Mulch,per m³,Ex-bin
Forest Litter,Mulch,per m³,Ex-bin
Tan Bark (14 / 25 / 50mm),Mulch,per m³,Ex-bin
Certified Playground Mulch 14mm,Mulch,per m³,Ex-bin
Red Chip,Mulch,per m³,Ex-bin
Black Chip,Mulch,per m³,Ex-bin
Hardwood Chip,Mulch,per m³,Ex-bin
Pine Chip,Mulch,per m³,Ex-bin
Eucalyptus Mulch,Mulch,per m³,Ex-bin
Rapid Set – 20kg,Cement,Kg,Ex-bin
White Gravel – 10mm & 40mm,Gravel,mm,Ex-bin
White Gravel – 20mm,Gravel,mm,Ex-bin
Roadbase,Gravel,per m³,Ex-bin
Blue Metal Dust,Gravel,per m³,Ex-bin
Sand & Gravel Mix – 10mm & 20mm,Gravel,per m³,Ex-bin
Bredbo River Gravel – 10mm,Gravel,per m³,Ex-bin
Crushed Blue Metal – 10mm & 20mm,Gravel,per m³,Ex-bin
Ginninderra Granite,Granite,per m³,Ex-bin
Yellow Granite,Granite,per m³,Ex-bin
Red / Off White Brickies Sand,Sand,per m³,Ex-bin
Paving Sand,Sand,per m³,Ex-bin
Washed Sand,Sand,per m³,Ex-bin
Braidwood Plastering Sand,Sand,per m³,Ex-bin
Beach Sand,Sand,per m³,Ex-bin
Forest Litter – Fine & Coarse,Mulches,per m³,Ex-bin
Hardwood Chip,Mulches,per m³,Ex-bin
Euci Chip,Mulches,per m³,Ex-bin
"Pine Bark – 7–10mm, 14mm & 25mm",Mulches,per m³,Ex-bin
Red Chip,Mulches,per m³,Ex-bin
"White Gravel (10mm, 20mm, 40mm) – per ton",Gravel,tonne,Ex-bin
Peach Gravel – 10mm (per ton),Gravel,tonne,Ex-bin
Round River Gravel – 40mm (per ton),Gravel,tonne,Ex-bin
Nimmitabel Rock – Stepping Stones (per ton),Rock,tonne,Ex-bin
Nimmitabel Wall Rock – Standard (per ton),Rock,tonne,Ex-bin
Boulders (per ton),Rock,tonne,Ex-bin
Deluxe Garden Blend,Soil,tonne,Ex-bin
River Pebble,Pebble,tonne,Ex-bin
Concrete Aggregate 20mm,Concrete,tonne,Ex-bin
Concrete Aggregate 14mm,Concrete,tonne,Ex-bin
Concrete Road-base/sub-base - DGS 20mm,Concrete,tonne,Ex-bin
Concrete Crushed Dust - 7mm (bedding sand),Concrete,tonne,Ex-bin
Concrete Uncrushed Screened,Concrete,tonne,Ex-bin
Concrete Crushed Pollution Control - 75mm,Concrete,tonne,Ex-bin
Brick Crushed Red Aggregate - 25mm no fines,Road Base,tonne,Ex-bin
Brick Crushed Red Driveway Mix - 25mm with fines/ compactable,Road Base,tonne,Ex-bin
Brick Crushed Red Dust - 7mm,Road Base,tonne,Ex-bin
Asphalt oversize - 40mm,Asphalt,tonne,Ex-bin
Asphalt subbase - 20mm,Asphalt,tonne,Ex-bin
Topsoil,Soil,tonne,Ex-bin
